COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Afghanistan,AFG,EMRO,REPORTING,28-11-2021,4396007,3896787,11.293,10.01,3564819,9.157,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",22-02-2021,4
Albania,ALB,EURO,REPORTING,05-12-2021,2035191,1078520,70.7,37.897,956671,33.615,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",13-01-2021,5
Algeria,DZA,AFRO,REPORTING,30-11-2021,12293060,6875003,28.034,15.678,5391232,12.294,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",30-01-2021,4
American Samoa,ASM,WPRO,REPORTING,07-12-2021,70933,37708,128.509,68.315,31477,57.027,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",21-12-2020,3
Andorra,AND,EURO,REPORTING,05-12-2021,106428,56095,137.7,73.638,50333,66.074,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",20-01-2021,3
Angola,AGO,AFRO,REPORTING,06-12-2021,10018061,6737721,30.481,20.5,3280340,9.981,SII - Covishield,10-03-2021,1
Anguilla,AIA,AMRO,REPORTING,03-12-2021,19914,10038,132.742,66.911,9213,61.412,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",05-02-2021,2
Antigua and Barbuda,ATG,AMRO,REPORTING,03-12-2021,118651,61662,121.16,62.966,56989,58.194,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",19-02-2021,6
Argentina,ARG,AMRO,REPORTING,03-12-2021,68874746,36890296,152.392,81.623,29992687,66.362,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",29-12-2020,7
Armenia,ARM,EURO,REPORTING,28-11-2021,1236264,799403,41.7,26.977,436861,14.743,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Sinovac - CoronaVac",16-06-2021,5
Aruba,ABW,AMRO,REPORTING,03-12-2021,161689,83660,151.442,78.358,78029,73.084,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",17-02-2021,2
Australia,AUS,WPRO,REPORTING,04-12-2021,39633360,20099492,155.426,78.822,18990458,74.473,"AstraZeneca - Vaxzevria,Novavax - Covavax,Pfizer BioNTech - Comirnaty",21-02-2021,3
Austria,AUT,EURO,REPORTING,05-12-2021,14516651,6409539,163.1,72.009,5564256,66.329,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30-12-2020,4
Azerbaijan,AZE,EURO,REPORTING,05-12-2021,9528612,5104999,94,50.349,4423613,43.629,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",20-01-2021,4
